clique_id,Amicizie mancanti, Simmetrie mancanti 
5946a5b4f810d5692244079c,0.0,13
5946a5b4f810d56922440982,0.0,13
5946a5b4f810d56922440984,0.0,13
5946a5b4f810d569224409a1,0.0,13
5946a5b4f810d569224409a3,0.0,13
5946a5b4f810d56922440c82,0.0,0
5946a5b6f810d56922440d0d,0.0,11
5946a5b6f810d56922440d0e,0.0,11
5946a5b9f810d56922441015,0.0,19
5946a5c7f810d569224430c0,0.0,10
5946a5c7f810d569224430c1,0.0,9
5946a5cbf810d569224438ba,0.0,15
5946a5d0f810d56922443ccf,0.0,1
5946a5d0f810d56922443cd0,0.0,2
5946a5d0f810d56922443cd1,0.0,1
5946a5d0f810d56922443cd2,0.0,2
5946a5d0f810d56922443cd3,0.0,3
5946a5d0f810d56922443cd4,0.0,1
5946a5d0f810d56922443cd5,0.0,2
5946a5d0f810d56922443cd6,0.0,0
5946a5d0f810d56922443cd7,0.0,2
5946a5d2f810d56922443e22,0.0,11
5946a5d2f810d56922443e27,0.0,12
5946a5d2f810d56922443e2a,0.0,10
5946a5d4f810d56922444045,0.0,10
5946a5d4f810d56922444046,0.0,10
5946a5d4f810d56922444063,0.0,11
5946a5d4f810d5692244406b,0.0,9
5946a5d4f810d569224440a0,0.0,12
5946a5d4f810d569224440b2,0.0,10
5946a5d5f810d56922444176,0.0,5
5946a5d5f810d5692244417e,0.0,5
5946a5def810d56922448360,0.0,4
5946a5def810d56922448366,0.0,4
5946a5def810d56922448367,0.0,3
5946a5e2f810d5692244858e,0.0,11
