com_id, Nodi, Conteggio, NumeroClique, intrusi, Soglia 1,Soglia 2,Soglia 3,Soglia 4,frs1,frs2,frs3,frs4
5a2ab0d95b73222015f89aa1,16,9,10,0,16,16,16,15,1,1,1,"0,9375"
5a2abc215b73222015f8edf9,16,9,16,0,16,14,14,14,1,"0,875","0,875","0,875"
5a2abc5e5b73222015f8f09d,16,9,11,0,16,14,14,14,1,"0,875","0,875","0,875"
5a2abc9a5b73222015f8f3ff,16,9,6,0,16,15,13,13,1,"0,9375","0,8125","0,8125"
5a2aaec45b73222015f88e8d,16,10,13,0,16,15,15,15,1,"0,9375","0,9375","0,9375"
5a2abb9d5b73222015f8e949,16,10,5,0,16,15,15,15,1,"0,9375","0,9375","0,9375"
5a29c07a5b73222015f6cff1,16,11,5,0,16,16,16,16,1,1,1,1
5a2abc535b73222015f8f01f,16,11,9,0,16,14,13,13,1,"0,875","0,8125","0,8125"
5a29cbea5b73222015f71880,16,13,5,0,16,16,16,16,1,1,1,1
5a2aab915b73222015f880c0,16,13,8,0,16,16,15,15,1,1,"0,9375","0,9375"
5a29c0d35b73222015f6d09d,16,15,5,0,16,16,16,16,1,1,1,1
5a2ab3f25b73222015f8b33c,16,15,10,0,16,16,16,16,1,1,1,1
5a2abb9f5b73222015f8e969,16,15,6,0,16,16,16,16,1,1,1,1
5a29c0d35b73222015f6d09a,16,16,5,0,16,15,15,15,1,"0,9375","0,9375","0,9375"
5a2aadaf5b73222015f887f9,15,5,7,0,15,14,14,14,1,"0,9333333333","0,9333333333","0,9333333333"
5a2a68f05b73222015f84f34,15,6,10,0,15,14,14,14,1,"0,9333333333","0,9333333333","0,9333333333"
5a29e0ad5b73222015f78007,15,7,6,0,15,13,13,13,1,"0,8666666667","0,8666666667","0,8666666667"
5a2abaab5b73222015f8e07c,15,7,8,1,14,14,14,14,"0,9333333333","0,9333333333","0,9333333333","0,9333333333"
5a2abd595b73222015f8f81d,15,7,8,0,15,14,14,14,1,"0,9333333333","0,9333333333","0,9333333333"
5a2abe435b73222015f8fba0,15,7,10,0,15,14,14,14,1,"0,9333333333","0,9333333333","0,9333333333"
5a312b725b7322713613d009,15,7,11,0,15,15,15,15,1,1,1,1
5a29c0025b73222015f6cef4,15,9,4,0,15,14,14,14,1,"0,9333333333","0,9333333333","0,9333333333"
5a29c80a5b73222015f6fae8,15,9,5,0,15,13,13,13,1,"0,8666666667","0,8666666667","0,8666666667"
5a2a8be35b73222015f8662d,15,9,5,0,15,15,15,14,1,1,1,"0,9333333333"
5a2ab3215b73222015f8acbc,15,9,9,0,15,14,14,14,1,"0,9333333333","0,9333333333","0,9333333333"
