clique_id, presenze massime_count, numero_nodi, intrusi ,Soglia 1,Soglia 2,Soglia 3,Soglia 4,fr1,fr2,fr3,fr4
5946ae29f810d5692253950f,15,9,0,9,8,6,6,1,"0,8888888889","0,6666666667","0,6666666667"
5946afeff810d56922559a36,16,11,0,11,11,11,10,1,1,1,"0,9090909091"
5946aeb5f810d5692253fdc1,3,8,0,7,7,6,5,"0,875","0,875","0,75","0,625"
5946a6cef810d5692247045d,2,8,0,8,7,6,5,1,"0,875","0,75","0,625"
5946ab72f810d569225005fd,3,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946a7a4f810d56922491733,2,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946a5c5f810d569224423bd,3,9,0,8,6,6,4,"0,8888888889","0,6666666667","0,6666666667","0,4444444444"
5946ab35f810d569224fc234,1,8,0,7,6,5,5,"0,875","0,75","0,625","0,625"
5946ae47f810d5692253ab2f,9,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a7a2f810d569224906c4,1,9,0,8,6,6,4,"0,8888888889","0,6666666667","0,6666666667","0,4444444444"
5946a8fbf810d569224c24d1,13,14,0,14,13,13,13,1,"0,9285714286","0,9285714286","0,9285714286"
5946a5b3f810d5692244040f,3,8,0,7,6,6,6,"0,875","0,75","0,75","0,75"
5946a5b3f810d56922440100,1,8,0,7,5,5,4,"0,875","0,625","0,625","0,5"
5946a5b4f810d5692244079d,1,8,0,7,4,4,4,"0,875","0,5","0,5","0,5"
5946a7a2f810d56922490699,1,8,0,8,7,6,5,1,"0,875","0,75","0,625"
5946a5b3f810d5692244040e,2,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946ad0cf810d5692251ebf8,12,10,0,10,8,8,8,1,"0,8","0,8","0,8"
5946a7a2f810d569224907c6,2,8,0,7,5,5,4,"0,875","0,625","0,625","0,5"
5946a8fbf810d569224c2016,13,12,0,12,11,10,10,1,"0,9166666667","0,8333333333","0,8333333333"
5946a5f4f810d5692244b3b9,16,10,0,10,9,8,8,1,"0,9","0,8","0,8"
5946a8fcf810d569224c3952,12,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946aa03f810d569224e4041,2,8,0,7,6,4,4,"0,875","0,75","0,5","0,5"
5946ad03f810d56922517729,16,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946aec4f810d569225429b1,12,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946a6bef810d5692246d462,4,8,0,7,6,5,5,"0,875","0,75","0,625","0,625"
5946ad08f810d5692251b507,12,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a791f810d5692248eb4d,14,9,1,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946a8faf810d569224c1ffb,17,12,0,12,11,10,10,1,"0,9166666667","0,8333333333","0,8333333333"
5946ab35f810d569224fc375,1,8,0,7,6,5,5,"0,875","0,75","0,625","0,625"
5946ab34f810d569224fbfb4,1,9,0,9,7,7,5,1,"0,7777777778","0,7777777778","0,5555555556"
5946a5f4f810d5692244b428,14,10,0,10,9,8,8,1,"0,9","0,8","0,8"
5946a8f5f810d569224bd666,13,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a791f810d5692248ea8d,7,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a5f2f810d5692244a12e,16,8,0,8,7,6,6,1,"0,875","0,75","0,75"
5946a57cf810d5692243704c,2,8,0,8,6,6,6,1,"0,75","0,75","0,75"
5946ab34f810d569224fbfba,1,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946a7a3f810d569224915df,1,8,0,7,6,6,5,"0,875","0,75","0,75","0,625"
5946a7a2f810d56922490990,1,9,0,8,6,6,5,"0,8888888889","0,6666666667","0,6666666667","0,5555555556"
5946abb7f810d569225044fa,15,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a7e9f810d5692249b1e1,1,8,0,7,6,4,4,"0,875","0,75","0,5","0,5"
5946aeebf810d5692254b3fc,10,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946b009f810d5692255c021,10,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a7a4f810d569224919ca,1,8,0,7,6,4,4,"0,875","0,75","0,5","0,5"
5946a6cef810d56922470480,3,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946a5f4f810d5692244b2f9,15,10,0,10,9,8,8,1,"0,9","0,8","0,8"
5946a8fff810d569224c65e7,7,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a7a2f810d569224909f8,2,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946ab72f810d56922500669,4,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946ad0af810d5692251d8be,12,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946a7a3f810d5692249156c,1,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946a8f8f810d569224bf4f5,12,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a7a2f810d56922490742,1,9,0,9,7,7,6,1,"0,7777777778","0,7777777778","0,6666666667"
5946ae29f810d56922539470,15,8,0,8,7,5,5,1,"0,875","0,625","0,625"
5946a797f810d5692248eee3,11,11,0,11,10,10,9,1,"0,9090909091","0,9090909091","0,8181818182"
5946a7b7f810d56922494492,10,8,1,7,7,7,7,"0,875","0,875","0,875","0,875"
5946a7a2f810d56922490a1f,2,9,0,8,6,6,4,"0,8888888889","0,6666666667","0,6666666667","0,4444444444"
5946a7a2f810d569224907eb,1,8,0,7,5,5,4,"0,875","0,625","0,625","0,5"
5946ad0ef810d5692252074e,10,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5f3f810d5692244af3b,12,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946b00af810d5692255ce05,8,11,0,11,10,10,10,1,"0,9090909091","0,9090909091","0,9090909091"
5946a7b8f810d569224956c1,20,10,1,9,9,9,9,"0,9","0,9","0,9","0,9"
5946a8fff810d569224c5bef,16,12,0,12,11,10,10,1,"0,9166666667","0,8333333333","0,8333333333"
5946a8fcf810d569224c340a,14,11,0,11,10,9,9,1,"0,9090909091","0,8181818182","0,8181818182"
5946aeb5f810d5692253fe10,1,8,0,8,7,6,5,1,"0,875","0,75","0,625"
5946a8fbf810d569224c2447,13,11,0,11,9,9,9,1,"0,8181818182","0,8181818182","0,8181818182"
5946afb6f810d569225582f8,2,8,0,7,6,6,6,"0,875","0,75","0,75","0,75"
5946aa1ef810d569224e82fb,7,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a7a2f810d56922490978,1,8,0,7,5,5,4,"0,875","0,625","0,625","0,5"
5946ab34f810d569224fbf9d,1,9,0,8,6,6,4,"0,8888888889","0,6666666667","0,6666666667","0,4444444444"
5946a5b4f810d569224407d9,2,8,0,6,4,4,4,"0,75","0,5","0,5","0,5"
5946a5f3f810d5692244ad89,12,9,0,9,8,7,7,1,"0,8888888889","0,7777777778","0,7777777778"
5946a5f3f810d5692244a81b,14,10,0,10,9,9,9,1,"0,9","0,9","0,9"
5946a8f8f810d569224bfda7,13,11,0,11,10,10,9,1,"0,9090909091","0,9090909091","0,8181818182"
5946b15ff810d56922565961,1,8,0,8,6,5,5,1,"0,75","0,625","0,625"
5946a8f5f810d569224bd70b,12,8,0,8,8,7,7,1,1,"0,875","0,875"
5946a589f810d5692243aa55,2,8,0,8,6,4,3,1,"0,75","0,5","0,375"
5946ab35f810d569224fc237,2,8,0,7,6,5,5,"0,875","0,75","0,625","0,625"
5946ad0cf810d5692251ec3f,4,8,0,8,7,7,7,1,"0,875","0,875","0,875"
5946a7a3f810d56922491132,1,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946a8fcf810d569224c3953,11,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946acfef810d56922513982,9,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5b3f810d569224404af,2,8,0,7,4,4,4,"0,875","0,5","0,5","0,5"
5946a5b3f810d569224403e4,1,8,0,7,5,5,5,"0,875","0,625","0,625","0,625"
5946a7a2f810d5692249095d,3,9,0,8,6,6,4,"0,8888888889","0,6666666667","0,6666666667","0,4444444444"
5946aaabf810d569224f5004,8,8,0,6,6,6,4,"0,75","0,75","0,75","0,5"
5946a7b7f810d56922494c00,15,9,1,8,8,8,8,"0,8888888889","0,8888888889","0,8888888889","0,8888888889"
5946aeeaf810d56922549dc8,12,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946b009f810d5692255bd9a,8,11,0,11,10,10,9,1,"0,9090909091","0,9090909091","0,8181818182"
5946a5f4f810d5692244b878,14,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946a5b3f810d569224403c3,2,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946a5b3f810d56922440330,2,8,0,7,5,4,4,"0,875","0,625","0,5","0,5"
5946a7a2f810d56922490757,2,9,0,8,6,6,4,"0,8888888889","0,6666666667","0,6666666667","0,4444444444"
5946a8f4f810d569224bc72a,7,12,0,12,11,11,11,1,"0,9166666667","0,9166666667","0,9166666667"
5946a8f5f810d569224bd6d1,12,9,0,9,8,8,8,1,"0,8888888889","0,8888888889","0,8888888889"
5946ab35f810d569224fc29b,1,8,0,7,6,5,4,"0,875","0,75","0,625","0,5"
5946a5f3f810d5692244a514,16,10,0,10,9,9,9,1,"0,9","0,9","0,9"
