com_id, Nodi, MassimaFreq, Conteggio, NumeroClique, intrusi
5a2abd595b73222015f8f825,15,15,1,11,0
5a2abbd45b73222015f8eb48,25,21,1,25,0
5a2ab2345b73222015f8a4c7,11,10,1,4,0
5a2a498a5b73222015f8306e,17,15,1,6,0
5a29d1615b73222015f74266,14,14,1,4,0
5a2aab8f5b73222015f880a3,9,9,1,2,0
5a29d6d15b73222015f76089,11,10,3,2,0
5a312b755b7322713613d036,144,128,1,786,0
5a2a0a285b73222015f7d624,10,10,1,2,0
5a2a995d5b73222015f86f74,9,8,2,2,0
5a2abb0a5b73222015f8e5b2,19,18,1,17,0
5a2a56be5b73222015f83ff6,10,9,1,2,0
5a2aba995b73222015f8dfb9,18,17,1,13,0
5a2ab0185b73222015f895af,9,9,1,2,0
5a2ab30a5b73222015f8aba2,18,15,1,10,0
5a2abb9a5b73222015f8e8ee,23,19,2,23,0
5a29efb95b73222015f7aac3,14,13,1,2,0
5a2a38b25b73222015f8178c,10,10,1,2,0
5a29d43e5b73222015f756fa,11,10,2,2,0
5a2ab9f85b73222015f8d88e,18,17,1,15,0
5a2abbaf5b73222015f8e9fe,17,17,1,9,0
5a2a04965b73222015f7cf2b,10,10,1,2,0
5a2ab4925b73222015f8b70b,22,21,1,17,0
